name,url
"City of Pasadena, CA Open Data",http://cityofpasadenaca.pasgis.opendata.arcgis.com
"INSTITUTO GEOGR\u00c1FICO NACIONAL",http://data.ignarg.opendata.arcgis.com
"City of Denton, TX",http://denton.gtg.opendata.arcgis.com
"Halifax Open Data Catalogue",http://catalogue.hrm.opendata.arcgis.com
"Salt Lake City GIS Open Data",http://gis.slcgov.opendata.arcgis.com
"The City of Missouri City - Open Data Public Access",http://gis.missouricitytx.opendata.arcgis.com
"St. Louis County, Minnesota",http://stlouiscountymndata.slcgis.opendata.arcgis.com
"Santa Cruz City GIS",http://data.cruzgis.opendata.arcgis.com
"Open GeoSpace",http://opengeospace.chesterfield.gov
"SERVIR Geospatial Information Technology",http://data.servirgit.opendata.arcgis.com
"Longview Open Data",http://data.longviewtexas.opendata.arcgis.com
"Nevada Division of Environmental Protection GIS",http://emap.ndep-gis.opendata.arcgis.com
"City of Wilmington",http://data.wilmingtonde.opendata.arcgis.com
"City of Kamloops",http://mydata.kamloops.opendata.arcgis.com
"Ohio Geographically Referenced Information Program- OGRIP",http://ogrip.geohio.opendata.arcgis.com
"DuPage County Illinois",http://dupageilgis.dupage.opendata.arcgis.com
