url,name,datasets
performance.adcogov.org,"Adams County Performance | Adams County Performance
",18
bis.data.commerce.gov,"Open Data | Socrata",2
2014bonds.cityofws.org,"2014 Bond Tracker | Open Data | Socrata",4
cip.cityofnovi.org,"City of Novi CIP | City of Novi CIP
",7
performance.vbgov.com,"Open Performance | Open Performance",122
performance.princegeorgescountymd.gov,"CountyStat | Prince George's CountyStat | CountyStat | Prince George's County",240
dashboard.edmonton.ca,"Edmonton - Open Performance Portal | City of Edmonton Citizen Dashboard
",285
dashboard.slco.org,"Salt Lake County Metrostat",61
policeview.johnscreekga.gov,"Johns Creek Police Department | Performance Management | Johns Creek Police Department | Performance Management
",73
data.burlingtonvt.gov,"Burlington | Open Data | Open Data | City of Burlington",74
data.cic.mx,"CIC | Open Data | Open Data | City of Monterrey CIC",100
data.ct.gov,"Connecticut | Open Data | Open Data - State of Connecticut",674
reports.data.imls.gov,"IMLS Reports Home | IMLS Reports Home",0
data.edd.ca.gov,"EDD Data Library | EDD Data Library",400
data.douglas.co.us,"Open Data Douglas County | Open Data Portal
",94
data.culvercity.org,"Culver | Open Data | Open Data | City of Culver City",50
data.commerce.gov,"U.S. Department of Commerce - Data Hub | Department of Commerce Data Hub",44
data.dcpcsb.org,"DC PCSB | Data Portal | DC PCSB | Data Portal",178
data.fortworthtexas.gov,"Fort Worth - Open Data Portal | Open Data Portal
",12
data.montgomerycountymd.gov,"Montgomery County Data | Open Data Portal",772
data.melbourne.vic.gov.au,"City of Melbourne - Open Data Portal | Open Data | Socrata",154
data.oregon.gov,"Oregon | Open Data | Oregon transparency",1830
data.nlc.org,"National League of Cities - Open Data Portal | Open Data | Socrata",139
data.pr.gov,"Puerto Rico Government Open Data Portal | Puerto Rico Government Open Data Portal",183
data.princegeorgescountymd.gov,"OpenPGC | Open Data | Open Data | Socrata",83
www.sudandata.org,"Sudan Evidence Base Programme | Open Data Portal
",283
data.richmondgov.com,"Open Data Portal | City of Richmond, Virginia | Open Data Portal | City of Richmond, Virginia",63
data.sunshinecoast.qld.gov.au,"Sunshine Coast Council Open Data | Data | Sunshine Coast Council",110
datapoints.dallascityhall.com,"Dallas Data Points | Open Performance | Dallas, TX",310
impact.glispa.org,"GLISPA Impact Dashboard | Open Data | Socrata",19
data.vermont.gov,"Vermont | Open Data | Open Data | State of Vermont",163
midashboard.michigan.gov,"Michigan - Open Performance Portal | Michigan - Open Performance",481
data.vta.org,"VTA - Open Data Portal | Open Data | VTA",28
opendata.utah.gov,"State of Utah - Open Data Portal | Open Data | Socrata",3391
performance.chattanooga.gov,"ChattaData | ChattaData | City of Chattanooga, TN",134
bea.data.commerce.gov,"Open Data | Socrata",3
performance.glendaleca.gov,"Government Financial Reports App | Government Financial Reports App",449
reports.data.montgomerycountymd.gov,"Montgomery County | GovStat | Montgomery County MD",5185
performance.franklintn.gov,"Government Financial Reports App | Government Financial Reports App",134
controllerdata.lacity.org,"Los Angeles | Open Data | Control Panel LA",1000
performance.williamsburgva.gov,"Williamsburg Performance Management | Williamsburg Performance Management",127
performance.ci.janesville.wi.us,"Park Place Performs! - City of Janesville | Park Place Performs! - City of Janesville",93
data.cincinnati-oh.gov,"Cincinnati Open Data Portal | Open Data | Socrata",241
data.acgov.org,"Alameda County Open Data | Alameda County Open Data",270
performance.carson.org,"Performance Carson City Dashboard | Performance Carson City Dashboard",16
data.detroitmi.gov,"Detroit | Open Data Portal | Open Data | Socrata",160
data.hartford.gov,"Data | City of Hartford | Data | City of Hartford",172
data.kingcounty.gov,"King County | Open Data | King County | Open Data",1097
data.hawaii.gov,"Hawaii | Open Data | Data for Hawaii | data.hawaii.gov",1683
data.ny.gov,"State of New York | Open Data | Open Data NY",1052
www.opendatanyc.com,"NYC Comptroller | Open Data | New York City | NYC Data",6
performance.seattle.gov,"City of Seattle - Open Performance Portal
 | City of Seattle - Open Performance Portal
",720
results.livewellsd.org,"San Diego Live Well Open Performance Dashboard | San Diego Live Well Open Performance",103
chronicdata.cdc.gov,"Chronic Disease and Health Promotion Data & Indicators",396
performance.cityofdavenportiowa.com,"Open Performance | Davenport | City of Davenport
",80
data.albanyny.gov,"Albany | Open Data | City of Albany",17
data.exim.gov,"data.exim.gov",3
www.forsythfutures.org,"Forsyth Futures | Forsyth Futures",355
flintactiontracker.michigan.gov,"Rally - Open Data Portal | Rally - Open Data Portal
",93
datosabiertos.pueblacapital.gob.mx,"Portal de Datos Abiertos - Municipio de Puebla | Open Data | Socrata",61
health.data.ny.gov,"State of New York | Open Data Health | Health Data NY",545
www.datos.gov.co,"Datos Abiertos Colombia | Datos Abiertos Colombia",6759
